step	cyano	ecw	
0	9.022288e-14	5.721264e-15	
step	cyano	ecw	
0	9.022288e-14	5.721264e-15	
100	9.168921e-14	5.602608e-15	
200	9.317937e-14	5.487194e-15	
300	9.469375e-14	5.374904e-15	
400	9.623274e-14	5.265631e-15	
500	9.779674e-14	5.159277e-15	
600	9.938616e-14	5.055756e-15	
700	1.010014e-13	4.954983e-15	
800	1.026429e-13	4.856881e-15	
900	1.043111e-13	4.761376e-15	
1000	1.060064e-13	4.668395e-15	
step	cyano	ecw	
0	9.022288e-14	5.721264e-15	
100	9.168248e-14	5.602605e-15	
200	9.316568e-14	5.487185e-15	
300	9.467288e-14	5.374885e-15	
400	9.620447e-14	5.265599e-15	
500	9.776083e-14	5.159229e-15	
600	9.934237e-14	5.055689e-15	
700	1.009495e-13	4.954896e-15	
800	1.025826e-13	4.856770e-15	
900	1.042422e-13	4.761239e-15	
1000	1.059285e-13	4.668230e-15	
